Año;País;Tipo de mercado;Servicio;Concepto;Operador;Tipo de Ingreso;Tipo de Paquete;Unidades;Ingresos (Millones €);Ingresos por Operador (Millones €);Empleados por Operador (Núm);Paquetes (Núm);Inversiones por Operador (Millones €);Gastos por Operador (Millones €)
2004;España;N/A;Datos generales;Gastos de explotación;Orange;N/A;N/A;Millones de euros;;;;;;92,94
2004;España;N/A;Datos generales;Gastos de explotación;Resto;N/A;N/A;Millones de euros;;;;;;108,56
2004;España;N/A;Datos generales;Gastos de explotación;Vodafone;N/A;N/A;Millones de euros;;;;;;147,11
2004;España;N/A;Datos generales;Inversiones en infraestr. de telec. y serv. audiov.;N/A;N/A;N/A;Millones de euros;;;;;4714,85;
2004;España;N/A;Datos generales;Número de empleados;Movistar;N/A;N/A;Unidades;;;38801;;;
2004;España;N/A;Datos generales;Número de empleados;Ono;N/A;N/A;Unidades;;;4216;;;
2004;España;N/A;Datos generales;Número de empleados;Orange;N/A;N/A;Unidades;;;3261;;;
2004;España;N/A;Datos generales;Número de empleados;Resto;N/A;N/A;Unidades;;;25958;;;
2004;España;N/A;Datos generales;Número de empleados;RTVE;N/A;N/A;Unidades;;;9317;;;
2004;España;N/A;Datos generales;Número de empleados;Televisió de Catalunya;N/A;N/A;Unidades;;;1988;;;
2004;España;N/A;Datos generales;Número de empleados;Vodafone;N/A;N/A;Unidades;;;4464;;;
2004;España;Servicio mayorista;Datos generales;Ingresos;Movistar;N/A;N/A;Millones de euros;;3779,14;;;;
2004;España;Servicio mayorista;Datos generales;Ingresos;N/A;Alquiler de circuitos;N/A;Millones de euros;552,87;;;;;
2004;España;Servicio mayorista;Datos generales;Ingresos;N/A;Banda ancha fija mayorista;N/A;Millones de euros;425,49;;;;;
2004;España;Servicio mayorista;Datos generales;Ingresos;N/A;Interconexión fija;N/A;Millones de euros;1470,97;;;;;
2004;España;Servicio mayorista;Datos generales;Ingresos;N/A;Interconexión móvil;N/A;Millones de euros;4033,34;;;;;
2004;España;Servicio mayorista;Datos generales;Ingresos;N/A;Otros servicios mayoristas;N/A;Millones de euros;386,16;;;;;
2004;España;Servicio mayorista;Datos generales;Ingresos;N/A;Transmisión de datos;N/A;Millones de euros;254,29;;;;;
2004;España;Servicio mayorista;Datos generales;Ingresos;N/A;Transporte y difusión de la señal audiovisual;N/A;Millones de euros;234,17;;;;;
2004;España;Servicio mayorista;Datos generales;Ingresos;Orange;N/A;N/A;Millones de euros;;1122,89;;;;
2004;España;Servicio mayorista;Datos generales;Ingresos;Resto;N/A;N/A;Millones de euros;;1137,14;;;;
2004;España;Servicio mayorista;Datos generales;Ingresos;Vodafone;N/A;N/A;Millones de euros;;1318,13;;;;
2004;España;Servicio minorista;Datos generales;Ingresos;Movistar;N/A;N/A;Millones de euros;;16053,28;;;;
2004;España;Servicio minorista;Datos generales;Ingresos;N/A;Banda ancha fija;N/A;Millones de euros;1766,25;;;;;
2004;España;Servicio minorista;Datos generales;Ingresos;N/A;Banda Ancha móvil;N/A;Millones de euros;156,61;;;;;
2004;España;Servicio minorista;Datos generales;Ingresos;N/A;Comunicaciones de Empresa;N/A;Millones de euros;1229,13;;;;;
2004;España;Servicio minorista;Datos generales;Ingresos;N/A;Otros servicios minoristas;N/A;Millones de euros;1470,69;;;;;
2004;España;Servicio minorista;Datos generales;Ingresos;N/A;Servicios audiovisuales;N/A;Millones de euros;4532,39;;;;;
2004;España;Servicio minorista;Datos generales;Ingresos;N/A;Servicios de información telefónica;N/A;Millones de euros;92,85;;;;;
2004;España;Servicio minorista;Datos generales;Ingresos;N/A;Telefonía fija;N/A;Millones de euros;8296,32;;;;;
2004;España;Servicio minorista;Datos generales;Ingresos;N/A;Telefonía móvil;N/A;Millones de euros;10238,12;;;;;
2004;España;Servicio minorista;Datos generales;Ingresos;N/A;Venta y alquiler de terminales;N/A;Millones de euros;2188,29;;;;;
2004;España;Servicio minorista;Datos generales;Ingresos;Orange;N/A;N/A;Millones de euros;;2764,92;;;;
2004;España;Servicio minorista;Datos generales;Ingresos;Resto;N/A;N/A;Millones de euros;;7634,42;;;;
2004;España;Servicio minorista;Datos generales;Ingresos;Vodafone;N/A;N/A;Millones de euros;;3518,03;;;;
2005;España;N/A;Datos generales;Gastos de explotación;Jazztel;N/A;N/A;Millones de euros;;;;;;37,63
2005;España;N/A;Datos generales;Gastos de explotación;Movistar;N/A;N/A;Millones de euros;;;;;;351,19
2005;España;N/A;Datos generales;Gastos de explotación;Ono;N/A;N/A;Millones de euros;;;;;;33,66
2005;España;N/A;Datos generales;Gastos de explotación;Orange;N/A;N/A;Millones de euros;;;;;;142,42
2005;España;N/A;Datos generales;Gastos de explotación;Resto;N/A;N/A;Millones de euros;;;;;;110,14
2005;España;N/A;Datos generales;Gastos de explotación;Vodafone;N/A;N/A;Millones de euros;;;;;;197,67
2005;España;N/A;Datos generales;Gastos de explotación;Yoigo;N/A;N/A;Millones de euros;;;;;;0,12
2005;España;N/A;Datos generales;Inversiones en infraestr. de telec. y serv. audiov.;N/A;N/A;N/A;Millones de euros;;;;;5514,82;
2005;España;N/A;Datos generales;Número de empleados;Movistar;N/A;N/A;Unidades;;;37061;;;
2005;España;N/A;Datos generales;Número de empleados;Ono;N/A;N/A;Unidades;;;4643;;;
2005;España;N/A;Datos generales;Número de empleados;Orange;N/A;N/A;Unidades;;;3285;;;
2005;España;N/A;Datos generales;Número de empleados;Resto;N/A;N/A;Unidades;;;27771;;;
2005;España;N/A;Datos generales;Número de empleados;RTVE;N/A;N/A;Unidades;;;9292;;;
2005;España;N/A;Datos generales;Número de empleados;Televisió de Catalunya;N/A;N/A;Unidades;;;1963;;;
2005;España;N/A;Datos generales;Número de empleados;Vodafone;N/A;N/A;Unidades;;;4504;;;
2005;España;Servicio mayorista;Datos generales;Ingresos;Movistar;N/A;N/A;Millones de euros;;4073,51;;;;
2005;España;Servicio mayorista;Datos generales;Ingresos;N/A;Alquiler de circuitos;N/A;Millones de euros;745,23;;;;;
2005;España;Servicio mayorista;Datos generales;Ingresos;N/A;Banda ancha fija mayorista;N/A;Millones de euros;631,48;;;;;
2005;España;Servicio mayorista;Datos generales;Ingresos;N/A;Interconexión fija;N/A;Millones de euros;1504,1;;;;;
2005;España;Servicio mayorista;Datos generales;Ingresos;N/A;Interconexión móvil;N/A;Millones de euros;4197,41;;;;;
2005;España;Servicio mayorista;Datos generales;Ingresos;N/A;Otros servicios mayoristas;N/A;Millones de euros;206,26;;;;;
2005;España;Servicio mayorista;Datos generales;Ingresos;N/A;Transmisión de datos;N/A;Millones de euros;184,38;;;;;
2005;España;Servicio mayorista;Datos generales;Ingresos;N/A;Transporte y difusión de la señal audiovisual;N/A;Millones de euros;240,17;;;;;
2005;España;Servicio mayorista;Datos generales;Ingresos;Orange;N/A;N/A;Millones de euros;;1035,96;;;;
2005;España;Servicio mayorista;Datos generales;Ingresos;Resto;N/A;N/A;Millones de euros;;1116,2;;;;
2005;España;Servicio mayorista;Datos generales;Ingresos;Vodafone;N/A;N/A;Millones de euros;;1483,36;;;;
