cod-ca;ca;cod-prov;prov;ano;mes;form-soc;num-con;capt-suscr-con;capt-desem-con
08;Castilla-La Mancha;16;Cuenca;2011;3;SA;1;60000;15000
09;Cataluña;17;Girona;2011;3;SA;1;600000;600000
01;Andalucía;18;Granada;2011;3;SA;1;65000;65000
08;Castilla-La Mancha;19;Guadalajara;2011;3;SA;0;0;0
16;País Vasco;20;Gipuzkoa;2011;3;SA;0;0;0
01;Andalucía;21;Huelva;2011;3;SA;0;0;0
02;Aragón;22;Huesca;2011;3;SA;1;198000;198000
01;Andalucía;23;Jaén;2011;3;SA;1;61000;61000
07;Castilla y León;24;León;2011;3;SA;0;0;0
09;Cataluña;25;Lleida;2011;3;SA;0;0;0
17;La Rioja;26;Rioja, La;2011;3;SA;0;0;0
12;Galicia;27;Lugo;2011;3;SA;0;0;0
13;Comunidad de Madrid;28;Madrid;2011;3;SA;30;12540607302;12539182226
01;Andalucía;29;Málaga;2011;3;SA;4;223050;178050
14;Región de Murcia;30;Murcia;2011;3;SA;3;180000;135000
15;C. Foral de Navarra;31;Navarra;2011;3;SA;1;700000;700000
12;Galicia;32;Ourense;2011;3;SA;0;0;0
03;Principado de Asturias;33;Asturias;2011;3;SA;2;182000;143637
07;Castilla y León;34;Palencia;2011;3;SA;0;0;0
05;Canarias;35;Palmas, Las;2011;3;SA;0;0;0
12;Galicia;36;Pontevedra;2011;3;SA;2;460000;115000
07;Castilla y León;37;Salamanca;2011;3;SA;0;0;0
05;Canarias;38;Santa Cruz de Tenerife;2011;3;SA;0;0;0
06;Cantabria;39;Cantabria;2011;3;SA;0;0;0
07;Castilla y León;40;Segovia;2011;3;SA;0;0;0
01;Andalucía;41;Sevilla;2011;3;SA;0;0;0
07;Castilla y León;42;Soria;2011;3;SA;0;0;0
09;Cataluña;43;Tarragona;2011;3;SA;1;60000;30000
02;Aragón;44;Teruel;2011;3;SA;1;11060000;2765000
08;Castilla-La Mancha;45;Toledo;2011;3;SA;0;0;0
10;Comunitat Valenciana;46;València / Valencia;2011;3;SA;1;60000;60000
07;Castilla y León;47;Valladolid;2011;3;SA;1;60200;15050
16;País Vasco;48;Bizkaia;2011;3;SA;5;3955000;3820000
07;Castilla y León;49;Zamora;2011;3;SA;0;0;0
02;Aragón;50;Zaragoza;2011;3;SA;6;65276044;18119011
18;Ceuta;51;Ceuta;2011;3;SA;0;0;0
19;Melilla;52;Melilla;2011;3;SA;0;0;0
16;País Vasco;01;Araba / Álava;2011;3;SL;56;2780604;2780604
08;Castilla-La Mancha;02;Albacete;2011;3;SL;77;1267031;1267031
10;Comunitat Valenciana;03;Alacant / Alicante;2011;3;SL;459;7515644;7515644
01;Andalucía;04;Almería;2011;3;SL;127;3573294;3573294
07;Castilla y León;05;Ávila;2011;3;SL;14;2116636;2116636
11;Extremadura;06;Badajoz;2011;3;SL;85;2737807;2737807
04;Illes Balears;07;Illes Balears;2011;3;SL;246;26541768;26541768
09;Cataluña;08;Barcelona;2011;3;SL;1273;37426457;37426457
07;Castilla y León;09;Burgos;2011;3;SL;44;350382;350382
11;Extremadura;10;Cáceres;2011;3;SL;51;3361039;3361039
01;Andalucía;11;Cádiz;2011;3;SL;166;3481483;3481483
10;Comunitat Valenciana;12;Castelló / Castellón;2011;3;SL;78;32825345;32825345
08;Castilla-La Mancha;13;Ciudad Real;2011;3;SL;77;645640;645640
01;Andalucía;14;Córdoba;2011;3;SL;144;2964689;2964689
12;Galicia;15;Coruña, A;2011;3;SL;172;4648293;4648293
08;Castilla-La Mancha;16;Cuenca;2011;3;SL;34;251520;251520
09;Cataluña;17;Girona;2011;3;SL;146;6881430;6881430
01;Andalucía;18;Granada;2011;3;SL;165;2951918;2951918
08;Castilla-La Mancha;19;Guadalajara;2011;3;SL;37;162814;162814
16;País Vasco;20;Gipuzkoa;2011;3;SL;104;3643885;3643885
01;Andalucía;21;Huelva;2011;3;SL;79;1077055;1077055
02;Aragón;22;Huesca;2011;3;SL;36;1477665;1477665
01;Andalucía;23;Jaén;2011;3;SL;58;547158;547158
07;Castilla y León;24;León;2011;3;SL;59;824900;824900
09;Cataluña;25;Lleida;2011;3;SL;80;2348884;2348884
17;La Rioja;26;Rioja, La;2011;3;SL;28;282893;282893
12;Galicia;27;Lugo;2011;3;SL;41;1414158;1414158
13;Comunidad de Madrid;28;Madrid;2011;3;SL;2043;59990169;59990169
01;Andalucía;29;Málaga;2011;3;SL;480;8622433;8622433
14;Región de Murcia;30;Murcia;2011;3;SL;314;6280626;6280626
15;C. Foral de Navarra;31;Navarra;2011;3;SL;91;1011034;1011034
12;Galicia;32;Ourense;2011;3;SL;44;564117;564117
03;Principado de Asturias;33;Asturias;2011;3;SL;145;1738148;1738148
07;Castilla y León;34;Palencia;2011;3;SL;17;593775;593775
05;Canarias;35;Palmas, Las;2011;3;SL;157;1879910;1879910
12;Galicia;36;Pontevedra;2011;3;SL;168;39484108;39484108
07;Castilla y León;37;Salamanca;2011;3;SL;40;411260;411260
05;Canarias;38;Santa Cruz de Tenerife;2011;3;SL;171;3313824;3313824
06;Cantabria;39;Cantabria;2011;3;SL;79;2316976;2316976
07;Castilla y León;40;Segovia;2011;3;SL;24;408477;408477
01;Andalucía;41;Sevilla;2011;3;SL;415;12195604;12195604
07;Castilla y León;42;Soria;2011;3;SL;9;187316;187316
09;Cataluña;43;Tarragona;2011;3;SL;140;4350818;4350818
02;Aragón;44;Teruel;2011;3;SL;9;73300;73300
08;Castilla-La Mancha;45;Toledo;2011;3;SL;119;1882321;1882321
10;Comunitat Valenciana;46;València / Valencia;2011;3;SL;465;8053534;8053534
07;Castilla y León;47;Valladolid;2011;3;SL;86;2443596;2443596
16;País Vasco;48;Bizkaia;2011;3;SL;213;5264058;5264058
07;Castilla y León;49;Zamora;2011;3;SL;23;396755;396755
02;Aragón;50;Zaragoza;2011;3;SL;157;6213042;6213042
18;Ceuta;51;Ceuta;2011;3;SL;8;41030;41030
19;Melilla;52;Melilla;2011;3;SL;6;18612;18612
16;País Vasco;01;Araba / Álava;2011;3;Otras;2;100000;100000
08;Castilla-La Mancha;02;Albacete;2011;3;Otras;0;0;0
